Model,Family,Params_B,HellaSwag,TruthfulQA_MC2,ARC_Challenge,WinoGrande,MMLU,Source
OPT-125M,OPT,0.125,31.47,42.87,22.87,51.62,26.02,HF-LLB-v1
OPT-350M,OPT,0.350,36.73,40.83,23.55,52.64,26.02,HF-LLB-v1
OPT-1.3B,OPT,1.3,54.53,38.71,29.52,59.75,24.96,HF-LLB-v1
OPT-2.7B,OPT,2.7,61.43,37.43,33.96,61.96,25.43,HF-LLB-v1
OPT-6.7B,OPT,6.7,68.66,35.12,39.16,65.98,24.57,HF-LLB-v1
OPT-13B,OPT,13.0,71.20,34.10,39.93,68.51,24.90,HF-LLB-v1
OPT-30B,OPT,30.0,74.07,35.16,43.26,70.64,26.66,HF-LLB-v1
OPT-66B,OPT,66.0,76.25,35.43,46.33,70.01,26.99,HF-LLB-v1
BLOOM-560M,BLOOM,0.560,37.15,42.44,24.74,51.93,24.22,HF-LLB-v1
BLOOM-1.1B,BLOOM,1.1,42.78,41.80,28.33,55.01,26.70,HF-LLB-v1
BLOOM-1.7B,BLOOM,1.7,47.60,41.31,30.63,56.04,27.48,HF-LLB-v1
BLOOM-3B,BLOOM,3.0,54.37,40.57,35.75,57.62,26.59,HF-LLB-v1
BLOOM-7.1B,BLOOM,7.1,62.00,38.90,41.13,65.43,26.25,HF-LLB-v1
BLOOM-176B,BLOOM,176.0,76.41,39.76,50.43,72.06,30.85,HF-LLB-v1
Cerebras-GPT-111M,Cerebras-GPT,0.111,26.73,46.31,20.22,47.75,25.51,HF-LLB-v1
Cerebras-GPT-256M,Cerebras-GPT,0.256,28.99,45.98,22.01,52.49,26.83,HF-LLB-v1
Cerebras-GPT-590M,Cerebras-GPT,0.590,32.40,44.15,23.72,48.15,25.97,HF-LLB-v1
Cerebras-GPT-1.3B,Cerebras-GPT,1.3,38.54,42.70,26.28,53.43,26.59,HF-LLB-v1
Cerebras-GPT-2.7B,Cerebras-GPT,2.7,49.29,41.37,29.10,54.14,25.17,HF-LLB-v1
Cerebras-GPT-6.7B,Cerebras-GPT,6.7,59.36,38.02,35.07,58.72,25.93,HF-LLB-v1
Cerebras-GPT-13B,Cerebras-GPT,13.0,60.01,39.19,38.14,59.83,25.92,HF-LLB-v1
GPT-Neo-125M,GPT-Neo,0.125,30.26,45.58,22.95,51.78,25.97,HF-LLB-v1
GPT-Neo-1.3B,GPT-Neo,1.3,48.47,39.63,31.23,56.91,24.82,HF-LLB-v1
GPT-Neo-2.7B,GPT-Neo,2.7,56.24,39.78,33.36,60.06,26.45,HF-LLB-v1
GPT-J-6B,EleutherAI,6.0,67.54,35.96,41.38,65.98,26.78,HF-LLB-v1
GPT-NeoX-20B,EleutherAI,20.0,73.45,31.61,45.73,68.90,25.00,HF-LLB-v1
Falcon-1B,Falcon,1.0,63.56,35.96,35.07,62.04,25.28,HF-LLB-v1
Falcon-7B,Falcon,7.0,78.13,34.26,47.87,72.38,27.79,HF-LLB-v1
Falcon-40B,Falcon,40.0,85.28,41.72,61.95,81.29,56.98,HF-LLB-v1
Llama-3-8B,Llama-3,8.0,82.23,42.93,60.24,78.45,66.70,HF-LLB-v1
Llama-3-70B,Llama-3,70.0,87.98,45.56,68.77,85.32,79.23,HF-LLB-v1
Phi-1.5,Phi,1.3,63.79,40.89,52.90,72.22,43.89,HF-LLB-v1
Phi-2,Phi,2.7,74.92,44.24,61.01,73.48,57.92,HF-LLB-v1
Phi-3-mini-4k,Phi,3.8,80.60,59.88,62.97,72.38,69.08,HF-LLB-v1
Gemma-2-9B,Gemma-2,9.0,81.90,,68.40,80.60,71.30,HF-blog+TechReport
Gemma-2-27B,Gemma-2,27.0,86.40,,71.40,83.70,75.20,HF-blog+TechReport
Qwen2.5-0.5B,Qwen2.5,0.5,52.10,40.20,35.60,56.30,47.50,Qwen-blog
Qwen2.5-1.5B,Qwen2.5,1.5,67.90,46.60,54.70,65.00,60.90,Qwen-blog
Qwen2.5-3B,Qwen2.5,3.0,74.60,48.90,56.50,71.10,65.60,Qwen-blog
Qwen2.5-7B,Qwen2.5,7.0,80.20,56.40,63.70,75.90,74.20,Qwen-blog
Qwen2.5-14B,Qwen2.5,14.0,,,67.30,,79.70,Qwen-blog
Qwen2.5-32B,Qwen2.5,32.0,85.20,57.80,70.40,82.00,83.30,Qwen-blog
Qwen2.5-72B,Qwen2.5,72.0,87.60,60.40,72.40,83.90,86.10,Qwen-blog
DeepSeek-V2-Lite,DeepSeek,15.7,,,,,58.30,HF-ModelCard
Grok-1,xAI,314.0,,,,,73.00,PromptingGuide
Phi-4,Phi,14.0,,,,,84.80,Phi4-TechReport
Phi-1,Phi,1.4,,,,,25.00,HF-LLB-v2(approx)
